㓦划	bo hua
不蔓不枝	bu man bu zhi
不薄	bu bo
不虚此行	bu xu ci xing
不虞之隙	bu yu zhi xi
不行	bu xing
不见圭角	bu jian gui jiao
不见经传	bu jian jing zhuan
不觉	bu jue
不解之仇	bu jie zhi chou
不记省	bu ji xing
不调	bu tiao
不调匀	bu tiao yun
不调贴	bu tiao tie
不护细行	bu hu xi xing
不丰不杀	bu feng bu shai
不贵尺璧而重寸阴	bu gui chi bi er zhong cun yin
不贤都头	bu xian du tou
不赚	bu zhuan
不足轻重	bu zu qing zhong
不通疴痒	bu tong e yang
不逊	bu xun
不避彊御	bu bi qiang yu
不还	bu huan
不重	bu zhong
不长一智	bu zhang yi zhi
不长眼睛	bu zhang yan jing
不长进	bu zhang jin
不阿	bu e
不隄防	bu ti fang
不露	bu lu
不露圭角	bu lu gui jiao
不露神色	bu lou shen se
不露声色	bu lou sheng se
不露身手	bu lou shen shou
不露锋芒	bu lou feng mang
不露风声	bu lou feng sheng
不露马脚	bu lou ma jiao
不顾而唾	bu gu er tuo
不显平地	bu xian ping di
不食之地	bu shi zhi di
不龟手药	bu jun shou yao
不龟药	bu jun yao
丑角	chou jue
且月	ju yue
且行且谈	qie xing qie tan
丕丕	pi pi
丕基	pi ji
丕平	pi ping
丕林岛	pi lin dao
丕业	pi ye
丕烈	pi lie
丕绩	pi ji
丕变	pi bian
丕灵	pi ling
丕显	pi xian
世仇	shi chou
世伯	shi bo
世界各地	shi jie ge di
世界地球日	shi jie di qiu ri
世界银行	shi jie yin hang
世行	shi hang
丘壑	qiu he
丘壑	qiu huo
丟三落四	diu san la si
丟丟抹抹	diu diu mo mo
丟入爪哇国里	diu ru zhao wa guo li
丟入爪哇国里	diu ru zhua wa guo li
丟卒保车	diu zu bao ju
丟抹	diu mo
并肩而行	bing jian er xing
并行	bing xing
并行不悖	bing xing bu bei
并重	bing zhong
中信银行	zhong xin yin hang
中国内地	zhong guo nei di
中国大陆	zhong guo da lu
中国重汽	zhong guo zhong qi
中国银行	zhong guo yin hang
中地	zhong di
中圻	zhong qi
中央空调	zhong yang kong tiao
中央空调系统	zhong yang kong tiao xi tong
中央警官学校	zhong yang jing guan xue xiao
中央银行	zhong yang yin hang
中子弹	zhong zi dan
中宿	zhong su
中山高速公路	zhong shan gao shu gong lu
中幡会	zhong fan hui
中弹	zhong dan
中心汇率	zhong xin hui lv
中心角	zhong xin jiao
中懑之症	zhong men zhi zheng
中朝	zhong chao
中东地区	zhong dong di qu
中校	zhong xiao
中枢	zhong shu
中枢机关	zhong shu ji guan
中枢神经	zhong shu shen jing
中流砥柱	zhong liu di zhu
中浣	zhong wan
中源地震	zhong yuan di zhen
中澣	zhong huan
中的	zhong de
中的	zhong di
中祕书	zhong mi shu
中秋快乐	zhong qiu kuai le
中籤率	zhong qian lv
中美地峡	zhong mei di xia
中胚层	zhong pei ceng
中藏	zhong zang
中觉	zhong jiao
中调	zhong diao
中资银行	zhong zi yin hang
中途曝光	zhong tu pu guang
中部地区	zhong bu di qu
中部地方	zhong bu di fang
中都	zhong du
中长期	zhong chang qi
中长线	zhong chang xian
中长铁路	zhong chang tie lu
中间地带	zhong jian di dai
中间宿主	zhong jian su zhu
串疽	chuan ju
串行	chuan xing
丹参	dan shen
丹墀	dan chi
丹心碧血	dan xin bi xie
丹心碧血	dan xin bi xue
丹楹刻桷	dan ying ke jue
丹荑	dan ti
丹葩	dan pa
丹雘	dan huo
主和弦	zhu he xian
主导地位	zhu dao di wei
主从	zhu cong
主从	zhu zong
主从式架构	zhu cong shi jia gou
主从式架构	zhu zong shi jia gou
主从式数据库	zhu cong shi zi liao ku
主从式数据库	zhu zong shi zi liao ku
主从架构	zhu cong jia gou
主从架构	zhu zong jia gou
主从架构资讯网路	zhu cong jia gou zi xun wang lu
主从架构资讯网路	zhu zong jia gou zi xun wang lu
主文谲谏	zhu wen jue jian
主治大夫	zhu zhi dai fu
主簿	zhu bu
主色调	zhu se diao
主调音	zhu diao yin
主轴	zhu zhou
乂安	yi an
久別重逢	jiu bie chong feng
久安长治	jiu an chang zhi
久长	jiu chang
