㓦划	bo hua
栅子	zha zi
栅极	zha ji
栅栏	zha lan
栅门	zha men
栒虡	xun ju
栓塞	shuan se
栖息	xi xi
栖栖	xi xi
栖身	xi shen
栟柑	bing gan
栟榈	bing lv
校人	jiao ren
校刊	xiao kan
校勘	jiao kan
校勘学	jiao kan xue
校务	xiao wu
校区	xiao qu
校友	xiao you
校友会	xiao you hui
校园	xiao yuan
校园伦理	xiao yuan lun li
校园民歌	xiao yuan min ge
校园网路	xiao yuan wang lu
校址	xiao zhi
校场	jiao chang
校外教学	xiao wai jiao xue
校官	xiao guan
校尉	jiao wei
校对	jiao dui
校对员	jiao dui yuan
校工	xiao gong
校徽	xiao hui
校庆	xiao qing
校改	jiao gai
校方	xiao fang
校旗	xiao qi
校书	jiao shu
校书郎	jiao shu lang
校服	xiao fu
校本	jiao ben
校样	jiao yang
校歌	xiao ge
校正	jiao zheng
校準	jiao zhun
校猎	jiao lie
校理	jiao li
校稿	jiao gao
校缀	jiao zhui
校舍	xiao she
校花	xiao hua
校规	xiao gui
校订	jiao ding
校计	jiao ji
校训	xiao xun
校访	xiao fang
校誉	xiao yu
校雠	jiao chou
校运	xiao yun
校医	xiao yi
校长	xiao zhang
校阅	jiao yue
校队	xiao dui
校际	xiao ji
校风	xiao feng
校验	jiao yan
校点	jiao dian
栴檀	zhan tan
核弹	he dan
核弹头	he dan tou
核黄疸	he huang dan
根据地	gen ju di
根椽片瓦	gen chuan pian wa
根生土长	gen sheng tu zhang
根蘗繁殖	gen bo fan zhi
格喳	ge cha
格地地	ge di di
格栅	ge shan
格磔	ge zhe
格调	ge diao
桀逆放恣	jie ni fang zi
桀骜不逊	jie ao bu xun
桁架	heng jia
桁桷	heng jue
桁条	heng tiao
桁杨	hang yang
桂宫柏寝	gui gong bo qin
桂棹	gui zhao
桃园中坜台地	tao yuan zhong li tai di
桃源行	tao yuan xing
桃花薄命	tao hua bo ming
案伯	an bo
案长	an zhang
桎梏	zhi gu
桑干河	sang gan he
桑干盆地	sang gan pen di
桑柘	sang zhe
桑枢	sang shu
桑枢甕牖	sang shu weng you
桑葚	sang shen
桔子	ju zi
桔桀	jie jie
桔梗	jie geng
桔槔	jie gao
桔槔烽	jie gao feng
桫椤	suo luo
桮杓	bei shao
梁山伯	liang shan bo
梁山伯祝英台	liang shan bo zhu ying tai
梁山泊	liang shan bo
梁朝伟	liang chao wei
梅酢	mei cu
梏亡	gu wang
梏十指	gu shi zhi
梏惨	gu can
梗塞	geng se
梜提	jia ti
枭骑	xiao ji
梧栖	wu qi
梨园行	li yuan hang
梨涡	li wo
梨颊微涡	li jia wei wo
械弹	xie dan
械用	xie yong
械系	xie xi
械斗	xie dou
梵剎	fan cha
梵呗	fan bai
梵筴	fan jia
弃如弁髦	qi ru bian mao
弃械	qi xie
弃械投降	qi xie tou xiang
弃甲曳兵	qi jia ye bing
弃甲曳兵	qi jia yi bing
弃短取长	qi duan qu chang
弃车保帅	qi ju bao shuai
棉纤维	mian xian wei
棉花店着火	mian hua dian zhao huo
棉薄之力	mian bo zhi li
棉都	mian du
棋高一着	qi gao yi zhuo
棒打薄情郎	bang da bo qing lang
棚圈	peng juan
栋折榱崩	dong zhe cui beng
棠棣	tang di
棠棣竞秀	tang di jing xiu
棠谿	tang xi
棣棣	di di
棣华	di hua
棣鄂	di e
棬枢	quan shu
森林游乐区	sen lin you le qu
棱角	leng jiao
栖宿	qi su
栖屑	qi xie
栖息	qi xi
栖息地	qi xi di
栖所	qi suo
栖梧食竹	qi wu shi zhu
栖栖	qi qi
栖栖遑遑	qi qi huang huang
栖止	qi zhi
栖流所	qi liu suo
栖讬	qi tuo
栖身	qi shen
栖遁	qi dun
栖遑	qi huang
栖迟	qi chi
栖霞	qi xia
棹歌	zhao ge
棹郎	zhao lang
棺材出了讨挽歌郎钱	guan cai chu liao tao wan ge lang qian
棽棽	shen shen
棽丽	shen li
椅披	yi pi
椆苕	diao tiao
植物生长素	zhi wu sheng zhang su
植物纤维	zhi wu xian wei
椎心泣血	zhui xin qi xie
椎心泣血	zhui xin qi xue
椎拍輐断	zhui pai wan duan
椎轮大辂	zhui lun da lu
椑柿	bei shi
椪柑	peng gan
椹质	zhen zhi
椽子	chuan zi
椽木	chuan mu
椽柱	chuan zhu
椽梁	chuan liang
椽笔	chuan bi
楂楂	cha cha
楅衡	fu heng
杨戬	yang jian
杨继盛	yang ji sheng
杨行密	yang xing mi
杨辉三角形	yang hui san jiao xing
枫丹白露	feng dan bai lu
枫桥夜泊	feng qiao ye bo
楖人	jie ren
楚些	chu suo
楚挞	chu ta
楚霸王困垓下	chu ba wang kun gai xia
楛矢	hu shi
楞伽经	leng qie jing
楥头	xuan tou
楬橥	jie zhu
楬豆	jie dou
业畜	ye chu
业簿	ye bu
业绩增长	ye ji zeng zhang
楮知白	chu zhi bai
楮知白	chu zhi bo
楮镪	chu qiang
楯鼻	shun bi
极地	ji di
极地气候	ji di qi hou
极乐	ji le
极乐世界	ji le shi jie
极乐鸟	ji le niao
极为重要	ji wei zhong yao
概括	gai gua
概括	gai kuo
概括承受	gai gua cheng shou
概括承受	gai kuo cheng shou
概率	gai lv
榆塞	yu sai
榆瞑豆重	yu mian dou zhong
榜上无名	bang shang wu ming
榜人	beng ren
榜单	bang dan
榜女	beng nv
榜尾	bang wei
榜帖	bang tie
榜张	bang zhang
榜掠	beng lve
榜文	bang wen
榜书	bang shu
榜楚	beng chu
榜样	bang yang
榜歌	beng ge
榜牌	bang pai
榜眼	bang yan
榜示	bang shi
榜笞	beng chi
榜箠	beng chui
榜花	bang hua
榜额	bang e
榜首	bang shou
荣行	rong xing
荣誉榜	rong yu bang
榱题	cui ti
榴弹	liu dan
榴弹炮	liu dan pao
榴霰弹	liu xian dan
槁项黄馘	gao xiang huang xu
构造地震	gou zao di zhen
构陷	gou xian
枪弹	qiang dan
枪林弹雨	qiang lin dan yu
枪械	qiang xie
椠本	qian ben
槭糖浆	cu tang jiang
槭叶止血草	cu ye zhi xie cao
槭叶止血草	cu ye zhi xue cao
槮爽	san shuang
槽碓	cao dui
乐不可支	le bu ke zhi
乐不可极	le bu ke ji
乐不可言	le bu ke yan
乐不思蜀	le bu si shu
乐事	le shi
乐亭大鼓	lao ting da gu
乐人	yue ren
乐以忘忧	le yi wang you
乐利	le li
乐句	yue ju
乐史	yue shi
乐呵	le he
乐呵呵	le he he
乐和	le he
乐品	yue pin
乐善	le shan
乐善不倦	le shan bu juan
乐善好施	le shan hao shi
乐善好义	le shan hao yi
乐嘻嘻	le xi xi
乐器	yue qi
乐国	le guo
乐园	le yuan
乐团	yue tuan
乐土	le tu
乐在其中	le zai qi zhong
乐境	le jing
乐坛	yue tan
乐天	le tian
乐天安命	le tian an ming
乐天派	le tian pai
乐天知命	le tian zhi ming
乐妇	yue fu
乐子	le zi
乐子馆	le zi guan
乐山	le shan
乐山乐水	yao shan yao shui
乐工	yue gong
乐师	yue shi
乐府	yue fu
乐府指迷	yue fu zhi mi
乐府诗	yue fu shi
乐府诗集	yue fu shi ji
乐府杂录	yue fu za lu
乐式	yue shi
乐律	yue lv
乐得	le de
乐意	le yi
乐手	yue shou
乐捐	le juan
乐探	yue tan
乐于	le yu
乐施	le shi
乐昌分破镜	le chang fen po jing
乐昌破镜	le chang po jing
乐易	le yi
乐普	le pu
乐曲	yue qu
乐棚	yue peng
乐业	le ye
乐业安居	le ye an ju
乐极则悲	le ji ze bei
乐极忘形	le ji wang xing
乐极悲来	le ji bei lai
乐极悲生	le ji bei sheng
乐极生悲	le ji sheng bei
乐乐	le le
乐乐陶陶	le le tao tao
乐歌	yue ge
乐正	yue zheng
乐此不倦	le ci bu juan
乐此不疲	le ci bu pi
乐岁	le sui
乐毅	yue yi
乐毅论	yue yi lun
乐池	yue chi
乐浪	le lang
乐清	yue qing
乐滋滋	le zi zi
乐床	yue chuang
乐理	yue li
乐祸	le huo
乐祸幸灾	le huo xing zai
乐章	yue zhang
乐籍	yue ji
乐素	yue su
乐经	yue jing
乐网	le wang
乐羣	le qun
乐羣	yao qun
乐翁	yue weng
乐而不淫	le er bu yin
乐而不荒	le er bu huang
乐而忘忧	le er wang you
乐而忘归	le er wang gui
乐而忘返	le er wang fan
乐圣	yue sheng
乐声	yue sheng
乐育	le yu
乐舞	yue wu
乐处	le chu
乐处又逢悲	le chu you feng bei
乐融融	le rong rong
乐观	le guan
乐观主义	le guan zhu yi
乐观其成	le guan qi cheng
乐观进取	le guan jin qu
乐讬	le tuo
乐记	yue ji
乐语	yue yu
乐论	yue lun
乐谱	yue pu
乐贫甘贱	le pin gan jian
乐购	le gou
乐趣	le qu
乐输	le shu
乐迷	yue mi
乐透	le tou
乐游原	le you yuan
乐道	le dao
乐道安贫	yao dao an pin
乐部	yue bu
乐陶陶	le tao tao
乐队	yue dui
乐音	yue yin
乐风	le feng
樊哙	fan kuai
樊於期	fan wu qi
楼车	lou che
楼车	lou ju
樗散	shu san
樗朽之材	shu xiu zhi cai
樗材	shu cai
樗栎	shu li
樗栎庸材	shu li yong cai
樗蒲	shu pu
标榜	biao bang
标的	biao di
标的物	biao di wu
标行	biao hang
标识	biao shi
标识	biao zhi
标题音乐	biao ti yin yue
樛曲	jiu qu
樛木	jiu mu
樛流	jiu liu
樛结	jiu jie
枢奥	shu ao
枢密	shu mi
枢密使	shu mi shi
枢密院	shu mi yuan
枢机	shu ji
枢机主教	shu ji zhu jiao
枢管	shu guan
枢纽	shu niu
枢臣	shu chen
枢衡	shu heng
枢要	shu yao
枢路	shu lu
模具	mo ju
模具	mu ju
模塑成形	mo su cheng xing
模子	mu zi
模板	mo ban
模板	mu ban
模样	mo yang
模样	mu yang
样册子	yang chai zi
样本调查	yang ben diao cha
樨枳子	xi zhi zi
朴讷	pu na
朴讷诚笃	pu na cheng du
朴重	pu zhong
树杪	shu miao
树碑立传	shu bei li zhuan
树行子	shu hang zi
树鼩	shu qu
樿傍	zhan pang
桡动脉	nao dong mai
桡败	nao bai
桡骨	nao gu
橘化为枳	ju hua wei zhi
橘柑	ju gan
橚爽	su shuang
橚矗	su chu
机事不密祸先行	ji shi bu mi huo xian xing
机括	ji gua
机括	ji kuo
机械	ji xie
机械化	ji xie hua
机械化耕作	ji xie hua geng zuo
机械化部队	ji xie hua bu dui
机械工业	ji xie gong ye
机械手	ji xie shou
机械效率	ji xie xiao lv
机械油	ji xie you
机械能	ji xie neng
机械行业	ji xie hang ye
机械论	ji xie lun
机率	ji lv
机率预报	ji lv yu bao
机轴	ji zhou
机辟	ji bi
机长	ji zhang
橦布	tong bu
横亘	heng gen
横剖面	heng pou mian
横劲	heng jin
横帧	heng zheng
横恣	heng zi
横披	heng pi
横行	heng xing
横行介士	heng xing jie shi
横行天下	heng xing tian xia
横行文字	heng xing wen zi
横行无忌	heng xing wu ji
横行直撞	heng xing zhi zhuang
横行霸道	heng xing ba dao
横冲直撞	heng chong zhi zhuang
横轴	heng zhou
檀车	tan che
檀车	tan ju
檄召	xi zhao
檄文	xi wen
檄书	xi shu
檄籴	xi di
柽柏	cheng bo
柽柳	cheng liu
桧木	kuai mu
桧柏	kuai bo
檠天架海	qing tian jia hai
检察长	jian cha zhang
检括	jian gua
检括	jian kuo
检校	jian jiao
槟城	bin cheng
槟榔屿	bin lang yu
槟榔摊	bin lang tan
槛槛	jian jian
槛猿笼鸟	jian yuan long niao
槛车	jian che
槛车	jian ju
櫂歌	zhao ge
橹棹	lu zhao
欃枪	chan cheng
栏栅	lan zha
栏楯	lan shun
权衡轻重	quan heng qing zhong
权轴	quan zhu
权重	quan zhong
欐佹	li gui
欑宫	cuan gong
欠债未还	qian zhai wei huan
欠债还钱	qian zhai huan qian
欠帐未还	qian zhang wei huan
欠钱未还	qian qian wei huan
次且	zi ju
次大陆	ci da lu
次殖民地	ci zhi min di
次着	ci zhuo
次重音	ci zhong yin
次长	ci zhang
欣喜雀跃	xin xi que yue
欣然自乐	xin ran zi le
欣生恶死	xin sheng wu si
欣跃	xin yue
欬唾成珠	ke tuo cheng zhu
欲不可从	yu bu ke cong
欲不可从	yu bu ke zong
欲壑难填	yu he nan tian
欲壑难填	yu huo nan tian
欲壑难饱	yu he nan bao
欲壑难饱	yu huo nan bao
欲就还推	yu jiu huan tui
欲深谿壑	yu shen xi he
欲深谿壑	yu shen xi huo
欲语还休	yu yu huan xiu
欲说还休	yu shuo huan xiu
欷吁	xi xu
欸乃	ai nai
欸乃曲	ai nai qu
欺天罔地	qi tian wang di
欺天诳地	qi tian kuang di
欺行霸市	qi hang ba shi
欻吸	hu xi
欻拉	chua la
钦差	qin chai
钦差大臣	qin chai da chen
钦赐	qin ci
钦赐	qin si
钦迟	qin zhi
款塞	kuan sai
款识	kuan zhi
歇宿	xie su
歇晌	xie shang
歇泊	xie bo
歌仔戏	ge zi xi
歌乐	ge yue
歌舞作乐	ge wu zuo le
歌行	ge xing
歌调	ge diao
叹吁	tan xu
叹嗟	tan jie
叹老嗟卑	tan lao jie bei
欧亚大陆	ou ya da lu
欧陆	ou lu
歕饭	pen fan
歙张	xi zhang
歙歙	xi xi
歙漆阿胶	she qi e jiao
歙砚	she yan
歙县	she xian
歙肩	xi jian
歙赩	xi xi
欢天喜地	huan tian xi di
欢忻踊跃	huan xin yong yue
欢乐	huan le
欢乐谷	huan le gu
欢欣踊跃	huan xin yong yue
欢洽	huan qia
欢洽	huan xia
欢跃	huan yue
止咳	zhi ke
止宿	zhi su
止泊	zhi bo
止血	zhi xie
止血	zhi xue
止血剂	zhi xie ji
止血剂	zhi xue ji
止血带	zhi xie dai
止血带	zhi xue dai
止血法	zhi xie fa
止血法	zhi xue fa
止血点	zhi xie dian
止血点	zhi xue dian
正三角形	zheng san jiao xing
正传	zheng zhuan
正在进行	zheng zai jin xing
正在运行	zheng zai yun xing
正常运行	zheng chang yun xing
正弦	zheng xian
正本溯源	zheng ben su yuan
正法眼藏	zheng fa yan cang
正番鸭	zheng fan ya
正当防卫行为	zheng dang fang wei xing wei
正着	zheng zhao
正视绳行	zheng shi sheng xing
正觉	zheng jue
正身率下	zheng shen shuai xia
正鹄	zheng gu
此仆彼起	ci pu bi qi
此地	ci di
此地无银三百两	ci di wu yin san bai liang
此番	ci fan
此行	ci xing
步兵学校	bu bing xue xiao
步兵校尉	bu bing xiao wei
步步行凶	bu bu xing xiong
步砌	bu qie
步线行针	bu xian xing zhen
步行	bu xing
步行机	bu xing ji
步行街	bu xing jie
步调	bu diao
步飞烟传	bu fei yan zhuan
步骑	bu ji
武城弦歌	wu cheng xian ge
武弁	wu bian
武林外传	wu lin wai zhuan
武行	wu hang
歪打正着	wai da zheng zhao
歪行货	wai hang huo
岁寒松柏	sui han song bo
岁会	sui kuai
岁月峥嵘	sui yue zheng rong
岁朘月耗	sui juan yue hao
岁朝	sui zhao
岁杪	sui miao
岁稔年丰	sui ren nian feng
岁行	sui xing
岁丰年稔	sui feng nian ren
历史重演	li shi chong yan
历朝	li chao
历遍	li bian
归宿	gui su
归属地	gui shu di
归心似箭	gui xin si jian
归棹	gui zhao
归省	gui xing
归着	gui zhuo
归藏	gui cang
归谬法	gui miu fa
归遗细君	gui wei xi jun
归还	gui huan
归还给	gui huan gei
归降	gui xiang
歹徒横行	dai tu heng xing
歹路不可行	dai lu bu ke xing
死不了	si bu liao
死不瞑目	si bu ming mu
死也瞑目	si ye ming mu
死亡率	si wang lv
死亡给付	si wang ji fu
死亦瞑目	si yi ming mu
死伤相藉	si shang xiang jie
死吃死嚼	si chi si jiao
死地	si di
死地求生	si di qiu sheng
死心倒地	si xin dao di
死心塌地	si xin ta di
死心搭地	si xin da di
死于安乐	si yu an le
死有重于泰山	si you zhong yu tai shan
死模活漾	si mu huo yang
死无葬身之地	si wu zang shen zhi di
死生契阔	si sheng qie kuo
死相枕借	si xiang zhen jie
死角	si jiao
死重泰山	si zhong tai shan
死鳔白缠	si biao bai chan
殁地	mo di
殂没	cu mo
殃榜	yang bang
殄灭	tian mie
殄瘁	tian cui
殄竭	tian jie
殄绝	tian jue
殆无孑遗	dai wu jie yi
殆无虚日	dai wu xu ri
殆尽	dai jin
殊功劲节	shu gong jing jie
殖利	zhi li
殖殖	zhi zhi
殖毛剂	zhi mao ji
殖民	zhi min
殖民主义	zhi min zhu yi
殖民地	zhi min di
殖民政府	zhi min zheng fu
殖民政策	zhi min zheng ce
殖民教育	zhi min jiao yu
殖谷	zhi gu
殖货	zhi huo
殗殜	ye ye
残贼	can ze
殒没	yun mo
殚见洽闻	dan jian qia wen
殚见洽闻	dan jian xia wen
歼一警百	jian yi jing bai
歼击机	jian ji ji
歼敌	jian di
歼灭	jian mie
歼灭战	jian mie zhan
殷天动地	yin tian dong di
殷天震地	yin tian zhen di
殷殷屯屯	yin yin zhun zhun
殷民阜利	yin min fu li
殷民阜财	yin min fu cai
殷然	yan ran
殷盛	yin sheng
殷红	yan hong
殷阜	yin fu
杀人不见血	sha ren bu jian xie
杀人不见血	sha ren bu jian xue
杀人不过头点地	sha ren bu guo tou dian di
杀人偿命	sha ren chang ming
杀人如芥	sha ren ru jie
杀人须见血	sha ren xu jian xie
杀人须见血	sha ren xu jian xue
杀出重围	sha chu chong wei
杀坯	sha pi
杀衣缩食	shai yi su shi
杀衣缩食	shai yi suo shi
壳牌	qiao pai
殽舛	yao chuan
殿屎	dian xi
毁熸	hui jian
毁舟为杕	hui zhou wei duo
毁誉参半	hui yu can ban
毋忘在莒	wu wang zai ju
母匙	mu chi
母校	mu xiao
每日逐朝	mei ri zhu zhao
每朝每日	mei zhao mei ri
每朝逐日	mei zhao zhu ri
每行	mei hang
毒液	du ye
比不了	bi bu liao
比似	bi si
比校	bi jiao
比率	bi lv
比谁	bi shui
比重	bi zhong
比重计	bi zhong ji
毗佐	pi zuo
毗倚	pi yi
毗婆尸佛	pi po shi fo
毗尼日用	pi ni ri yong
毗益	pi yi
毗卢遮那	pi lu zhe na
毗舍婆佛	pi she po fo
毗连	pi lian
毗邻	pi lin
毗陵	pi ling
毘婆沙部	pi po sha bu
毘昙宗	pi tan zong
毛利率	mao li lv
毛地黄	mao di huang
毛坯	mao pei
毛厕	mao si
毛糙	mao cao
毛细血管	mao xi xie guan
毛细血管	mao xi xue guan
毛义捧檄	mao yi peng xi
毛蚶	mao han
毛血	mao xie
毛血	mao xue
毛重	mao zhong
毣毣	mao mao
毫不逊色	hao bu xun se
毫厘	hao li
毫厘不爽	hao li bu shuang
毫厘之差	hao li zhi cha
毫厘千里	hao li qian li
毰毸	pei sai
毷氉	mao zao
毾㲪	ta deng
毵毵	san san
牦牛	li niu
牦牛	mao niu
牦缨	li ying
牦缨	mao ying
氍毹	qu shu
氍毹	qu yu
氐羌	di qiang
民俗音乐	min su yin yue
民和年稔	min he nian ren
民埝	min nian
民安物阜	min an wu fu
民康物阜	min kang wu fu
民怨沸腾	min yuan fei teng
民意调查	min yi diao cha
民族地区	min zu di qu
民族乐器	min zu yue qi
民族乐队	min zu yue dui
民族音乐	min zu yin yue
民乐	min yue
民殷财阜	min yin cai fu
民熙物阜	min xi wu fu
民生银行	min sheng yin hang
民调	min diao
氓隸	mang li
氟塑料	fu su liao
氟氯碳化物	fu lv tan hua wu
氟碳塑胶	fu tan su jiao
气丕丕	qi pi pi
气充文见	qi chong wen xian
气势磅礡	qi shi pang bo
气势磅礴	qi shi pang bo
气吁吁	qi xu xu
气咻咻	qi xiu xiu
气咽声丝	qi ye sheng si
气喘吁吁	qi chuan xu xu
气塞	qi se
气夯胸脯	qi hang xiong pu
气态溶液	qi tai rong ye
气沮	qi ju
气焰嚣张	qi yan xiao zhang
气爆弹	qi bao dan
气盛言宜	qi sheng yan yi
气贯长虹	qi guan chang hong
气鸣乐器	qi ming yue qi
氢弹	qing dan
氮血症	dan xie zheng
氮血症	dan xue zheng
氯丁橡胶	lv ding xiang jiao
氯丹	lv dan
氯乙烯	lv yi xi
氯仿	lv fang
氯化	lv hua
氯化氢	lv hua qing
氯化消毒法	lv hua xiao du fa
氯化物	lv hua wu
氯化钠	lv hua na
氯化钙	lv hua gai
氯化钾	lv hua jia
氯化银	lv hua yin
氯化铵	lv hua an
氯化锌	lv hua xin
氯化镁	lv hua mei
氯气	lv qi
氯气中毒	lv qi zhong du
氯水	lv shui
氯丝菌素	lv si jun su
氯纶	lv lun
氯酸	lv suan
氯醛	lv quan
氯霉素	lv mei su
水利枢纽	shui li shu niu
水勺	shui shao
水宿	shui xiu
水宿风餐	shui su feng can
水断陆绝	shui duan lu jue
水栅	shui zha
水样液	shui yang ye
水样液	shui yang yi
水汀	shui ting
水泄不通	shui xie bu tong
水泥熟料	shui ni shou liao
水泵	shui beng
水源地	shui yuan di
水浒	shui hu
水浒传	shui hu zhuan
水状液	shui zhuang ye
水獭	shui ta
水产养殖	shui chan yang zhi
水碓	shui dui
水磨调	shui mo diao
水稗	shui bai
水笔仔	shui bi zi
水蓼	shui liao
水蕴草	shui yun cao
水过地皮溼	shui guo di pi shi
水远山长	shui yuan shan chang
水都	shui du
水锤泵	shui chui beng
水长船高	shui zhang chuan gao
水门汀	shui men ting
水陆	shui lu
水陆并进	shui lu bing jin
水陆之馔	shui lu zhi zhuan
水陆毕陈	shui lu bi chen
水陆画	shui lu hua
水陆道场	shui lu dao chang
水陆杂陈	shui lu za chen
永佃权	yong dian quan
永乐	yong le
永乐大典	yong le da dian
永乐宫	yong le gong
永乐窑	yong le yao
永乐钱	yong le qian
永矢弗谖	yong shi fu xuan
氿泉	gui quan
汀州	ting zhou
汀曲	ting qu
汀洲	ting zhou
汀泞	ting ning
汀滢	ting ying
汀线	ting xian
求偿	qiu chang
求宿	qiu su
求聘	qiu pin
求降	qiu xiang
汆丸子汤	cuan wan zi tang
汆子	cuan zi
汆汤	cuan tang
汗洽股栗	han qia gu li
汗洽股栗	han xia gu li
汗流洽背	han liu qia bei
汗流洽背	han liu xia bei
汗液	han ye
汗液	han yi
汗血马	han xie ma
汗血马	han xue ma
汛地	xun di
汞溴红	gong xiu hong
汞齐	gong ji
江参	jiang can
江河行地	jiang he xing di
江翻海沸	jiang fan hai fei
江都县	jiang du xian
污尊	wa zun
污庳	wa bei
污水	wu shui
污水	yu shui
污膺	wa ying
汩乱	gu luan
汩徂	yu cu
汩汩	gu gu
汩没	gu mo
汩流	yu liu
汩起	gu qi
汩越	yu yue
汪洋自恣	wang yang zi zi
汪濊	wang wei
汪踦	wang qi
汴堤	bian di
汴堤	bian ti
汸汸	pang pang
决了	jue liao
决堤	jue di
决堤	jue ti
决痈溃疽	jue yong kui ju
汽车租赁	qi che zu lin
汽车行业	qi che hang ye
汽辗	qi nian
汾沮洳	fen ju ru
沆溉	hang gai
沆漭	hang mang
沆瀣	hang xie
沆瀣一气	hang xie yi qi
沇水	yan shui
沇沇	yan yan
沇溶	yan rong
沈下	chen xia
沈不住气	chen bu zhu qi
沈住气	chen zhu qi
沈冤	chen yuan
沈厚	chen hou
沈吟	chen yin
沈寂	chen ji
沈得住气	chen de zhu qi
沈思	chen si
沈思往事	chen si wang shi
沈闷	chen men
沈括	shen gua
沈括	shen kuo
沈没	chen mo
沈浮	chen fu
沈浸	chen jin
沈沦	chen lun
沈溺	chen ni
沈滞	chen zhi
沈滞性	chen zhi xing
沈淀	chen dian
沈淀出来	chen dian chu lai
沈淀法	chen dian fa
沈淀物	chen dian wu
沈浊	chen zhuo
沈甸甸	chen dian dian
沈痛	chen tong
沈痼	chen gu
沈疴	chen e
沈着	chen zhuo
沈睡	chen shui
沈睡不醒	chen shui bu xing
沈砂池	chen sha chi
沈积	chen ji
沈积岩	chen ji yan
沈积石	chen ji shi
沈筒	chen tong
沈船	chen chuan
沈落	chen luo
沈迷	chen mi
沈迷不醒	chen mi bu xing
沈醉	chen zui
沈重	chen zhong
沈降	chen jiang
沈陷	chen xian
沈静	chen jing
沈静下来	chen jing xia lai
沈香	chen xiang
沈郁	chen yu
沈鱼落雁	chen yu luo yan
沈默	chen mo
沈默不语	chen mo bu yu
沈默寡言	chen mo gua yan
沉没	chen mo
沉疴	chen e
沉着	chen zhuo
沉着应战	chen zhuo ying zhan
沉着痛快	chen zhuo tong kuai
沉酣	chen han
沉重	chen zhong
沉重寡言	chen zhong gua yan
沉重少言	chen zhong shao yan
沉陷	chen xian
沏油	qu you
沐浴露	mu yu lu
没下	mei xia
没下	mo xia	1%
没不煞	mo bu sha
没世	mo shi
没世不忘	mo shi bu wang
没世难忘	mo shi nan wang
没干没净	mei gan mei jing
没干净	mei gan jing
没乱	mei luan	5%
没乱	mo luan
没乱死	mo luan si
没乱杀	mo luan sha
没乱煞	mo luan sha
没乱里	mo luan li
没了	mei le
没了	mo le	1%
没了期	mei liao qi
没了当	mei liao dang
没了结处	mei liao jie chu
没了落	mei liao luo
没事哏	mei shi hen
没人	mei ren
没人	mo ren	1%
没什么	mei shen me
没什么要紧	mei shen me yao jin
没入	mo ru
没出长	mei chu zhang
没劲	mei jin
没包弹	mei bao tan
没命似的	mei ming si de
没嚼头	mei jue tou
没地	mei de
没地	mei di
没地	mo di
没地里巡检	mei di li xun jian
没地里	mei de li
没奈何	mo nai he
没完没了	mei wan mei liao
没官	mo guan
没弹剥	mei tan bo
没后	mo hou
没德行	mei de xing
没志行	mei zhi xing
没忽的	mo hu di
没感觉	mei gan jue
没揣地	mei chuai de
没揣的	mei chuai de
没揣的	mo chuai di
没撩没乱	mei liao mo luan
没挞煞	mei ta sha
没收	mei shou	5%
没收	mo shou
没是哏	mei shi hen
没有什么	mei you shen me
没有什么道理	mei you shen me dao li
没有感觉	mei you gan jue
没有长羽毛就忘了根本	mei you zhang yu mao jiu wang le gen ben
没查没利	mei zha mei li
没死以闻	mo si yi wen
没水	mei shui
没水	mo shui	5%
没没	mo mo
没没无闻	mo mo wu wen
没海履地	mo hai lv di
没溺	mo ni
没留没乱	mei liu mo luan
没着没落	mei zhuo mei luo
没着落	mei zhuo luo
没而不朽	mo er bu xiu
没落	mo luo
没落子	mei lao zi
没药	mo yao
没行款	mei hang kuan
没行止	mei xing zhi
没调教	mei tiao jiao
没赚头	mei zhuan tou
没身	mo shen
没身不忘	mo shen bu wang
没轻没重	mei qing mei zhong
没金饮羽	mo jin yin yu
没长眼	mei zhang yan
没长进	mei zhang jin
没顶	mo ding
没头没脑	mei tou mei nao
没头没脑	mo tou mo nao
没头蹲	mo tou dun
没骨	mo gu
没骨画	mo gu hua
没骨花卉	mo gu hua hui
没齿	mo chi
没齿不忘	mo chi bu wang
没齿难忘	mo chi nan wang
没齿难泯	mo chi nan min
沓合	ta he
沓拖	ta tuo
沓沓	ta ta
沓至	ta zhi
沓杂	ta za
冲撞	chong zhuang
冲模	chong mu
沙参	sha shen
沙嗲	sha die
沙噀	sha xun
沙地	sha di
沙乌地阿拉伯	sha wu di a la bo
沙乌地阿拉伯王国	sha wu di a la bo wang guo
沙鸡	cha ji
沬血	mei xue
沮丧	ju sang
沮坏	ju huai
沮挠	ju nao
沮水	ju shui
沮洳	ju ru
沮溺	ju ni
沮泽	ju ze
沮索	ju suo
沮舍	ju she
沮诵	ju song
沮遏	ju e
沮骇	ju hai
河伯	he bo
河伯使者	he bo shi zhe
河伯娶妇	he bo qu fu
河伯从事	he bo cong shi
河堤	he di
河堤	he ti
河泊所	he bo suo
河海航行员	he hai hang xing yuan
河涸海干	he he hai gan
河清难俟	he qing nan si
河落海干	he lao hai gan
河蚌	he bang
河里孩儿岸上娘	he li ha er an shang niang
河隄	he ti
沸反盈天	fei fan ying tian
沸水	fei shui
沸水式反应器	fei shui shi fan ying qi
沸沸	fei fei
沸沸	fu fu
沸沸扬扬	fei fei yang yang
沸泉	fei quan
沸涫	fei guan
沸汤	fei tang
沸然	fei ran
沸热	fei re
沸羹	fei geng
沸腾	fei teng
沸点	fei dian
